TransactionID,ProductName,StoreLocation,Quantity,Price,Date,TotalSales
TXN100000,Juice,Co-Op,9,29.32,2023-05-22,263.88
TXN100001,Eggs,Tesco,7,83.68,2023-02-18,585.76
TXN100002,Snacks,Lidl,7,95.05,2023-02-07,665.35
TXN100003,Juice,Tesco,3,87.38,2023-12-05,262.14
TXN100004,Fruits,Lidl,15,86.65,2023-10-04,1299.75
TXN100005,Milk,Aldi,19,6.71,2023-02-17,127.49
TXN100006,Eggs,Sainsbury,5,19.8,2023-09-16,99.0
TXN100007,Snacks,Co-Op,1,85.77,2023-05-06,85.77
TXN100008,Cheese,Co-Op,4,2.45,2023-01-26,9.8
TXN100009,Snacks,Sainsbury,14,64.64,2023-12-05,904.96
TXN100010,Juice,Sainsbury,8,43.88,2023-12-05,351.04
TXN100011,Snacks,Lidl,1,25.78,2023-04-06,25.78
TXN100012,Soda,Co-Op,19,53.6,2023-01-19,1018.4
TXN100013,Soda,Lidl,15,94.17,2023-12-04,1412.55
TXN100014,Bread,Sainsbury,18,16.21,2023-01-17,291.78000000000003
TXN100015,Bread,Tesco,10,72.85,2023-12-04,728.5
TXN100016,Soda,Lidl,10,66.13,2023-11-08,661.3
TXN100017,Snacks,Tesco,19,36.61,2023-10-08,695.59
TXN100018,Milk,Aldi,10,15.19,2023-02-25,151.9
TXN100019,Fruits,Sainsbury,7,47.59,2023-03-14,333.13
TXN100020,Eggs,Co-Op,9,37.89,2023-03-06,341.01
TXN100021,Fruits,Lidl,15,18.41,2023-02-03,276.15
TXN100022,Cheese,Tesco,8,63.03,2023-10-27,504.24
TXN100023,Juice,Tesco,4,7.02,2023-04-29,28.08
TXN100025,Bread,Co-Op,9,73.43,2023-06-23,660.8700000000001
TXN100026,Juice,Co-Op,6,21.35,2023-08-12,128.10000000000002
TXN100027,Juice,Co-Op,6,99.14,2023-09-29,594.84
TXN100028,Bread,Lidl,15,99.2,2023-02-08,1488.0
TXN100029,Milk,Aldi,11,51.05,2023-02-13,561.55
TXN100030,Bread,Sainsbury,3,16.74,2023-09-30,50.22
TXN100031,Soda,Tesco,3,19.42,2023-04-18,58.260000000000005
TXN100032,Juice,Co-Op,3,87.74,2023-01-21,263.21999999999997
TXN100033,Butter,Tesco,11,40.46,2023-01-12,445.06
TXN100034,Bread,Lidl,3,2.53,2023-01-20,7.59
TXN100035,Juice,Aldi,12,22.0,2023-08-09,264.0
TXN100036,Milk,Sainsbury,16,20.71,2023-06-21,331.36
TXN100037,Butter,Co-Op,8,66.01,2023-10-11,528.08
TXN100038,Fruits,Co-Op,3,87.8,2023-07-26,263.4
TXN100039,Juice,Co-Op,16,90.93,2023-08-25,1454.88
TXN100040,Snacks,Sainsbury,12,72.91,2023-06-24,874.92
TXN100041,Bread,Aldi,16,77.59,2023-04-15,1241.44
TXN100042,Butter,Aldi,2,54.76,2023-05-28,109.52
TXN100043,Snacks,Co-Op,19,28.46,2023-10-27,540.74
TXN100044,Juice,Lidl,10,43.36,2023-07-02,433.6
TXN100045,Eggs,Tesco,16,33.29,2023-10-22,532.64
TXN100046,Cheese,Tesco,14,15.31,2023-04-12,214.34
TXN100047,Fruits,Aldi,15,23.55,2023-05-26,353.25
TXN100049,Eggs,Sainsbury,16,35.14,2023-12-27,562.24
TXN100050,Juice,Lidl,16,92.46,2023-12-05,1479.36
TXN100051,Soda,Sainsbury,19,85.6,2023-05-15,1626.3999999999999
TXN100052,Milk,Aldi,18,20.61,2023-07-23,370.98
TXN100053,Bread,Sainsbury,7,57.83,2023-06-12,404.81
TXN100054,Butter,Lidl,7,25.91,2023-07-18,181.37
TXN100055,Milk,Tesco,11,63.11,2023-08-14,694.21
TXN100056,Juice,Lidl,12,4.04,2023-06-02,48.480000000000004
TXN100057,Eggs,Lidl,8,25.47,2023-01-14,203.76
TXN100058,Milk,Tesco,9,80.06,2023-10-21,720.54
TXN100059,Fruits,Co-Op,14,43.14,2023-06-08,603.96
TXN100060,Butter,Co-Op,14,26.98,2023-02-20,377.72
TXN100061,Fruits,Co-Op,13,41.97,2023-07-19,545.61
TXN100062,Cheese,Tesco,1,25.67,2023-01-08,25.67
TXN100063,Vegetables,Tesco,19,81.19,2023-12-22,1542.61
TXN100064,Snacks,Tesco,17,20.65,2023-09-30,351.04999999999995
TXN100065,Milk,Tesco,10,18.68,2023-08-11,186.8
TXN100066,Milk,Co-Op,4,92.67,2023-02-28,370.68
TXN100067,Butter,Co-Op,3,66.47,2023-06-27,199.41
TXN100068,Juice,Lidl,9,89.67,2023-11-17,807.03
TXN100069,Juice,Sainsbury,12,74.28,2023-09-28,891.36
TXN100070,Milk,Aldi,15,36.33,2023-05-01,544.9499999999999
TXN100071,Soda,Tesco,11,68.15,2023-11-01,749.6500000000001
TXN100072,Vegetables,Co-Op,16,91.53,2023-04-21,1464.48
TXN100073,Butter,Lidl,10,37.21,2023-11-27,372.1
TXN100074,Milk,Tesco,4,63.39,2023-08-16,253.56
TXN100075,Butter,Aldi,7,34.9,2023-12-02,244.29999999999998
TXN100076,Soda,Tesco,5,65.57,2023-05-15,327.84999999999997
TXN100077,Milk,Aldi,9,71.92,2023-08-25,647.28
TXN100078,Bread,Lidl,2,46.9,2023-05-21,93.8
TXN100079,Milk,Co-Op,13,90.74,2023-06-08,1179.62
TXN100080,Juice,Aldi,18,60.83,2023-12-11,1094.94
TXN100081,Cheese,Aldi,6,19.02,2023-09-02,114.12
TXN100082,Bread,Sainsbury,9,84.18,2023-01-26,757.6200000000001
TXN100083,Butter,Sainsbury,1,16.15,2023-06-07,16.15
TXN100084,Bread,Sainsbury,17,40.28,2023-03-07,684.76
TXN100085,Cheese,Lidl,5,83.63,2023-11-22,418.15
TXN100086,Soda,Co-Op,9,21.51,2023-07-27,193.59
TXN100088,Bread,Tesco,13,12.21,2023-11-09,158.73000000000002
TXN100089,Bread,Tesco,2,52.39,2023-11-04,104.78
TXN100090,Snacks,Tesco,17,26.16,2023-12-06,444.72
TXN100091,Eggs,Lidl,19,15.0,2023-10-01,285.0
TXN100092,Milk,Tesco,12,81.73,2023-02-11,980.76
