TransactionID,ProductName,StoreLocation,Quantity,Price,Date
TXN100000,juice,co-op,9,29.32,2023-05-22
TXN100001,eggs,tesco,7,83.68,2023-02-18
TXN100002,snacks,lidl,7,95.05,2023-02-07
TXN100003,juice,tesco,3,87.38,2023-12-05
TXN100004,fruits,lidl,15,86.65,2023-10-04
TXN100005,milk,aldi,19,6.71,2023-02-17
TXN100006,eggs,sainsbury,5,19.8,2023-09-16
TXN100007,snacks,co-op,1,85.77,2023-05-06
TXN100008,cheese,co-op,4,2.45,2023-01-26
TXN100009,snacks,sainsbury,14,64.64,2023-12-05
TXN100010,juice,sainsbury,8,43.88,2023-12-05
TXN100011,snacks,lidl,1,25.78,2023-04-06
TXN100012,soda,co-op,19,53.6,2023-01-19
TXN100013,soda,lidl,15,94.17,2023-12-04
TXN100014,bread,sainsbury,18,16.21,2023-01-17
TXN100015,bread,tesco,10,72.85,2023-12-04
TXN100016,soda,lidl,10,66.13,2023-11-08
TXN100017,snacks,tesco,19,36.61,2023-10-08
TXN100018,milk,aldi,10,15.19,2023-02-25
TXN100019,fruits,sainsbury,7,47.59,2023-03-14
TXN100020,eggs,co-op,9,37.89,2023-03-06
TXN100021,fruits,lidl,15,18.41,2023-02-03
TXN100022,cheese,tesco,8,63.03,2023-10-27
TXN100023,juice,tesco,4,7.02,2023-04-29
TXN100024,,co-op,9,6.3,2023-02-04
TXN100025,bread,co-op,9,73.43,2023-06-23
TXN100026,juice,co-op,6,21.35,2023-08-12
TXN100027,juice,co-op,6,99.14,2023-09-29
TXN100028,bread,lidl,15,99.2,2023-02-08
TXN100029,milk,aldi,11,51.05,2023-02-13
TXN100030,bread,sainsbury,3,16.74,2023-09-30
TXN100031,soda,tesco,3,19.42,2023-04-18
TXN100032,juice,co-op,3,87.74,2023-01-21
TXN100033,butter,tesco,11,40.46,2023-01-12
TXN100034,bread,lidl,3,2.53,2023-01-20
TXN100035,juice,aldi,12,22.0,2023-08-09
TXN100036,milk,sainsbury,16,20.71,2023-06-21
TXN100037,butter,co-op,8,66.01,2023-10-11
TXN100038,fruits,co-op,3,87.8,2023-07-26
TXN100039,juice,co-op,16,90.93,2023-08-25
TXN100040,snacks,sainsbury,12,72.91,2023-06-24
TXN100041,bread,aldi,16,77.59,2023-04-15
TXN100042,butter,aldi,2,54.76,2023-05-28
TXN100043,snacks,co-op,19,28.46,2023-10-27
TXN100044,juice,lidl,10,43.36,2023-07-02
TXN100045,eggs,tesco,16,33.29,2023-10-22
TXN100046,cheese,tesco,14,15.31,2023-04-12
TXN100047,fruits,aldi,15,23.55,2023-05-26
TXN100048,soda,lidl,10,,2023-01-03
TXN100049,eggs,sainsbury,16,35.14,2023-12-27
TXN100050,juice,lidl,16,92.46,2023-12-05
TXN100051,soda,sainsbury,19,85.6,2023-05-15
TXN100052,milk,aldi,18,20.61,2023-07-23
TXN100053,bread,sainsbury,7,57.83,2023-06-12
TXN100054,butter,lidl,7,25.91,2023-07-18
TXN100055,milk,tesco,11,63.11,2023-08-14
TXN100056,juice,lidl,12,4.04,2023-06-02
TXN100057,eggs,lidl,8,25.47,2023-01-14
TXN100058,milk,tesco,9,80.06,2023-10-21
TXN100059,fruits,co-op,14,43.14,2023-06-08
TXN100060,butter,co-op,14,26.98,2023-02-20
TXN100061,fruits,co-op,13,41.97,2023-07-19
TXN100062,cheese,tesco,1,25.67,2023-01-08
TXN100063,vegetables,tesco,19,81.19,2023-12-22
TXN100064,snacks,tesco,17,20.65,2023-09-30
TXN100065,milk,tesco,10,18.68,2023-08-11
TXN100066,milk,co-op,4,92.67,2023-02-28
TXN100067,butter,co-op,3,66.47,2023-06-27
TXN100068,juice,lidl,9,89.67,2023-11-17
TXN100069,juice,sainsbury,12,74.28,2023-09-28
TXN100070,milk,aldi,15,36.33,2023-05-01
TXN100071,soda,tesco,11,68.15,2023-11-01
TXN100072,vegetables,co-op,16,91.53,2023-04-21
TXN100073,butter,lidl,10,37.21,2023-11-27
TXN100074,milk,tesco,4,63.39,2023-08-16
TXN100075,butter,aldi,7,34.9,2023-12-02
TXN100076,soda,tesco,5,65.57,2023-05-15
TXN100077,milk,aldi,9,71.92,2023-08-25
TXN100078,bread,lidl,2,46.9,2023-05-21
TXN100079,milk,co-op,13,90.74,2023-06-08
TXN100080,juice,aldi,18,60.83,2023-12-11
TXN100081,cheese,aldi,6,19.02,2023-09-02
TXN100082,bread,sainsbury,9,84.18,2023-01-26
TXN100083,butter,sainsbury,1,16.15,2023-06-07
TXN100084,bread,sainsbury,17,40.28,2023-03-07
TXN100085,cheese,lidl,5,83.63,2023-11-22
TXN100086,soda,co-op,9,21.51,2023-07-27
TXN100087,,aldi,4,16.94,2023-07-25
TXN100088,bread,tesco,13,12.21,2023-11-09
TXN100089,bread,tesco,2,52.39,2023-11-04
TXN100090,snacks,tesco,17,26.16,2023-12-06
TXN100091,eggs,lidl,19,15.0,2023-10-01
TXN100092,milk,tesco,12,81.73,2023-02-11
TXN100093,snacks,lidl,15,39.77,2023-12-25
TXN100094,soda,co-op,15,92.65,2023-07-13
TXN100095,soda,lidl,19,63.11,2023-06-11
TXN100096,soda,tesco,12,32.72,2023-01-18
TXN100097,vegetables,lidl,7,73.46,2023-06-17
TXN100098,fruits,aldi,6,42.53,2023-07-01
TXN100099,bread,lidl,16,34.91,2023-08-03
TXN100100,cheese,lidl,12,31.78,2024-01-01
TXN100101,eggs,co-op,7,46.05,2023-12-19
TXN100102,fruits,aldi,17,32.94,2023-11-24
TXN100103,juice,co-op,15,33.3,2023-11-27
TXN100104,snacks,lidl,18,,2023-08-10
TXN100105,juice,co-op,4,74.6,2023-03-26
TXN100106,eggs,lidl,12,11.29,2023-02-26
TXN100107,bread,lidl,18,61.65,2023-03-04
TXN100108,soda,sainsbury,4,10.42,2023-01-04
TXN100109,soda,aldi,10,89.75,2023-07-11
TXN100110,eggs,lidl,1,24.93,2023-04-16
TXN100111,soda,sainsbury,2,8.51,2023-01-18
TXN100112,fruits,lidl,14,82.41,2023-08-19
TXN100113,bread,tesco,4,47.7,2023-04-09
TXN100114,juice,tesco,9,62.42,2023-02-13
TXN100115,snacks,co-op,1,54.08,2023-07-25
TXN100116,milk,co-op,3,64.32,2023-10-19
TXN100117,bread,lidl,8,52.22,2023-02-16
TXN100118,,sainsbury,9,77.21,2023-01-01
TXN100119,bread,tesco,3,16.66,2023-11-02
TXN100120,juice,lidl,14,40.57,2023-02-27
TXN100121,snacks,sainsbury,19,82.73,2023-12-25
TXN100122,juice,aldi,18,13.79,2023-11-21
TXN100123,vegetables,tesco,13,20.76,2023-03-16
TXN100124,vegetables,co-op,11,22.05,2023-02-11
TXN100125,soda,co-op,11,52.8,2023-11-18
TXN100126,fruits,sainsbury,13,58.1,2023-12-14
TXN100127,milk,aldi,4,91.45,2023-11-18
TXN100128,butter,aldi,18,26.77,2023-04-05
TXN100129,snacks,tesco,1,88.1,2023-07-15
TXN100130,cheese,sainsbury,4,44.77,2023-08-02
TXN100131,vegetables,aldi,10,56.39,2023-04-10
TXN100132,eggs,sainsbury,16,24.41,2023-08-30
TXN100133,eggs,sainsbury,3,13.31,2023-02-26
TXN100134,bread,sainsbury,10,56.19,2023-10-08
TXN100135,bread,co-op,7,3.8,2023-06-08
TXN100136,vegetables,tesco,1,2.6,2023-07-22
TXN100137,milk,lidl,11,40.75,2023-03-12
TXN100138,juice,aldi,17,12.77,2023-08-15
TXN100139,soda,tesco,3,32.9,2023-05-08
TXN100140,eggs,tesco,3,17.86,2023-12-19
TXN100141,cheese,aldi,13,28.69,2023-03-13
TXN100142,juice,lidl,1,48.44,2023-06-09
TXN100143,eggs,tesco,16,77.55,2023-08-15
TXN100144,soda,aldi,7,77.99,2023-01-24
TXN100145,bread,co-op,18,82.72,2023-10-03
TXN100146,bread,sainsbury,13,11.04,2023-04-04
TXN100147,vegetables,lidl,12,57.02,2023-03-07
TXN100148,vegetables,co-op,3,73.39,2023-02-06
TXN100149,butter,co-op,5,22.98,2023-08-11
TXN100150,cheese,lidl,4,70.87,2023-01-20
TXN100151,soda,lidl,16,2.39,2023-05-02
TXN100152,fruits,co-op,4,83.66,2023-06-18
TXN100153,eggs,lidl,19,50.34,2023-01-06
TXN100154,eggs,sainsbury,10,57.06,2023-07-22
TXN100155,fruits,lidl,4,49.8,2023-07-20
TXN100156,fruits,tesco,9,35.89,2023-12-31
TXN100157,bread,co-op,2,38.71,2023-10-04
TXN100158,juice,co-op,17,73.17,2023-12-01
TXN100159,eggs,lidl,3,32.29,2023-07-12
TXN100160,eggs,tesco,12,82.12,2023-02-19
TXN100161,snacks,sainsbury,9,93.26,2023-03-14
TXN100162,eggs,tesco,10,3.05,2023-03-07
TXN100163,soda,tesco,10,35.08,2023-12-15
TXN100164,cheese,sainsbury,12,38.62,2023-01-26
TXN100165,soda,sainsbury,4,55.41,2023-06-04
TXN100166,cheese,aldi,8,25.65,2023-04-17
TXN100167,vegetables,co-op,5,40.31,2023-07-27
TXN100168,eggs,tesco,9,67.68,2023-11-27
TXN100169,butter,lidl,16,29.02,2023-04-05
TXN100170,milk,aldi,6,92.01,2023-12-17
TXN100171,butter,co-op,6,96.9,2023-04-02
TXN100172,fruits,tesco,1,34.89,2023-08-11
TXN100173,fruits,sainsbury,1,36.23,2023-04-14
TXN100174,juice,sainsbury,15,59.8,2023-08-21
TXN100175,soda,aldi,12,21.13,2023-08-11
TXN100176,milk,tesco,16,84.76,2023-12-13
TXN100177,snacks,lidl,3,33.75,2023-02-01
TXN100178,vegetables,tesco,2,49.5,2023-09-08
TXN100179,eggs,aldi,16,92.84,2023-07-26
TXN100180,snacks,co-op,18,95.54,2023-05-18
TXN100181,snacks,aldi,18,50.04,2023-01-25
TXN100182,cheese,aldi,4,16.7,2023-11-03
TXN100183,juice,lidl,10,35.03,2023-04-09
TXN100184,juice,aldi,8,82.29,2023-06-21
TXN100185,cheese,tesco,13,99.32,2023-11-27
TXN100186,snacks,co-op,14,29.38,2023-11-23
TXN100187,vegetables,aldi,9,56.75,2023-01-21
TXN100188,juice,aldi,18,11.17,2023-09-14
TXN100189,soda,co-op,17,92.72,2023-10-18
TXN100190,fruits,co-op,5,68.29,2023-02-08
TXN100191,cheese,tesco,12,70.63,2023-02-26
TXN100192,snacks,lidl,8,66.72,2023-12-02
TXN100193,soda,aldi,6,83.5,2023-04-25
TXN100194,juice,sainsbury,6,32.81,2023-01-08
TXN100195,soda,aldi,19,47.18,2023-05-29
TXN100196,cheese,tesco,11,68.8,2023-11-04
TXN100197,juice,tesco,2,5.17,2023-01-03
TXN100198,bread,aldi,17,50.84,2023-11-05
TXN100199,eggs,co-op,1,58.62,2023-01-24
TXN100200,juice,sainsbury,2,14.12,2023-10-22
TXN100201,juice,tesco,15,96.14,2023-03-06
TXN100202,butter,sainsbury,9,69.5,2023-06-08
TXN100203,cheese,co-op,2,79.45,2023-01-11
TXN100204,milk,tesco,3,69.93,2023-07-29
TXN100205,snacks,co-op,8,82.24,2023-11-16
TXN100206,snacks,co-op,12,52.91,2023-06-06
TXN100207,butter,sainsbury,13,79.97,2023-12-29
TXN100208,juice,lidl,17,33.9,2023-10-01
TXN100209,snacks,aldi,18,22.98,2023-03-05
TXN100210,eggs,co-op,17,87.44,2023-08-09
TXN100211,juice,co-op,8,15.22,2023-10-27
TXN100212,bread,co-op,17,22.99,2023-08-15
TXN100213,bread,aldi,19,45.7,2023-01-27
TXN100214,snacks,co-op,7,53.7,2023-03-22
TXN100215,fruits,tesco,12,98.48,2023-07-02
TXN100216,snacks,sainsbury,11,29.24,2023-03-03
TXN100217,snacks,lidl,4,74.83,2023-09-17
TXN100218,soda,sainsbury,16,46.23,2023-05-01
TXN100219,bread,sainsbury,14,87.43,2023-06-15
TXN100220,eggs,aldi,11,66.19,2023-06-01
TXN100221,juice,tesco,6,29.8,2023-11-30
TXN100222,bread,tesco,6,32.06,2023-12-15
TXN100223,milk,sainsbury,18,88.25,2023-08-09
TXN100224,snacks,sainsbury,4,72.54,2023-01-06
TXN100225,eggs,tesco,15,84.88,2023-12-29
TXN100226,vegetables,co-op,8,21.26,2023-06-28
TXN100227,bread,aldi,3,72.33,2023-03-03
TXN100228,bread,tesco,16,22.92,2023-06-14
TXN100229,soda,co-op,3,86.56,2023-12-24
TXN100230,soda,lidl,5,11.85,2023-07-15
TXN100231,eggs,lidl,17,53.79,2023-01-07
TXN100232,fruits,co-op,8,35.33,2023-03-14
TXN100233,vegetables,tesco,2,96.74,2023-05-23
TXN100234,eggs,aldi,14,69.99,2023-06-12
TXN100235,cheese,tesco,2,6.33,2023-09-23
TXN100236,juice,co-op,16,36.45,2023-12-26
TXN100237,,sainsbury,5,,2023-01-07
TXN100238,vegetables,sainsbury,17,56.75,2023-01-05
TXN100239,snacks,sainsbury,5,14.13,2023-07-26
TXN100240,bread,tesco,3,59.12,2023-12-22
TXN100241,bread,co-op,5,69.74,2023-05-16
TXN100242,eggs,tesco,14,78.11,2023-04-30
TXN100243,butter,aldi,17,73.62,2023-11-24
TXN100244,eggs,sainsbury,4,36.44,2023-08-12
TXN100245,vegetables,tesco,16,20.13,2023-04-01
TXN100246,vegetables,sainsbury,4,96.77,2023-02-14
TXN100247,bread,co-op,6,22.88,2023-05-24
TXN100248,eggs,lidl,10,3.88,2023-08-20
TXN100249,eggs,aldi,12,89.07,2023-05-16
TXN100250,bread,lidl,19,66.79,2023-01-16
TXN100251,bread,lidl,13,93.71,2023-08-16
TXN100252,snacks,sainsbury,17,32.37,2023-03-08
TXN100253,vegetables,sainsbury,15,31.02,2023-06-18
TXN100254,vegetables,co-op,5,47.51,2023-03-07
TXN100255,vegetables,aldi,2,37.26,2023-09-06
TXN100256,butter,tesco,15,44.16,2023-07-08
TXN100257,vegetables,lidl,10,64.17,2023-10-04
TXN100258,cheese,lidl,8,95.69,2023-10-14
TXN100259,milk,co-op,3,44.27,2023-01-19
TXN100260,snacks,co-op,1,16.03,2023-07-15
TXN100261,milk,lidl,18,84.67,2023-07-26
TXN100262,cheese,aldi,8,23.37,2023-03-11
TXN100263,fruits,co-op,2,49.68,2023-08-03
TXN100264,snacks,aldi,11,72.59,2023-07-17
TXN100265,fruits,sainsbury,3,67.12,2023-02-04
TXN100266,eggs,lidl,3,43.98,2023-03-26
TXN100267,juice,co-op,15,96.06,2023-06-07
TXN100268,,tesco,8,16.28,2023-06-09
TXN100269,milk,sainsbury,3,51.98,2023-04-03
TXN100270,soda,aldi,14,83.25,2023-01-08
TXN100271,cheese,lidl,19,55.79,2023-10-02
TXN100272,eggs,tesco,7,71.19,2023-06-29
TXN100273,juice,sainsbury,16,11.64,2023-08-10
TXN100274,juice,aldi,18,69.74,2023-09-07
TXN100275,bread,tesco,12,60.85,2023-12-08
TXN100276,cheese,lidl,11,80.52,2023-06-01
TXN100277,soda,aldi,19,43.56,2023-06-23
TXN100278,bread,sainsbury,19,25.67,2023-01-31
TXN100279,soda,aldi,5,32.49,2023-02-10
TXN100280,eggs,aldi,7,,2023-09-27
TXN100281,juice,aldi,17,19.21,2023-03-29
TXN100282,butter,tesco,2,82.65,2023-08-25
TXN100283,cheese,co-op,3,94.78,2023-01-29
TXN100284,milk,sainsbury,10,53.07,2023-08-25
TXN100285,vegetables,aldi,8,53.75,2023-09-10
TXN100286,snacks,co-op,9,15.86,2023-03-20
TXN100287,eggs,lidl,9,37.49,2023-02-14
TXN100288,soda,sainsbury,4,40.91,2023-05-20
TXN100289,vegetables,tesco,2,50.43,2023-11-24
TXN100290,milk,sainsbury,16,55.56,2023-12-07
TXN100291,soda,tesco,12,59.68,2023-01-16
TXN100292,cheese,tesco,16,77.75,2023-02-10
TXN100293,fruits,tesco,19,75.66,2023-01-01
TXN100294,butter,sainsbury,11,89.19,2023-05-30
TXN100295,bread,co-op,14,86.95,2023-05-23
TXN100296,cheese,tesco,5,68.34,2023-05-20
TXN100297,fruits,tesco,8,82.88,2023-09-26
TXN100298,snacks,co-op,6,42.57,2023-03-14
TXN100299,snacks,lidl,13,63.27,2023-08-23
TXN100300,cheese,co-op,1,69.49,2023-09-15
TXN100301,vegetables,lidl,6,35.1,2023-09-18
TXN100302,bread,aldi,2,66.27,2023-01-30
TXN100303,fruits,sainsbury,4,94.57,2023-09-09
TXN100304,bread,aldi,8,64.64,2023-09-07
TXN100305,fruits,sainsbury,9,56.96,2024-01-01
TXN100306,bread,co-op,8,59.97,2023-07-25
TXN100307,butter,sainsbury,1,80.94,2023-04-13
TXN100308,butter,co-op,4,47.79,2023-08-24
TXN100309,bread,lidl,7,70.44,2023-08-07
TXN100310,cheese,tesco,6,81.37,2023-12-05
TXN100311,fruits,sainsbury,6,43.2,2023-10-17
TXN100312,soda,aldi,7,52.01,2023-11-03
TXN100313,eggs,co-op,15,7.52,2023-10-09
TXN100314,eggs,lidl,16,30.18,2023-08-23
TXN100315,butter,tesco,9,92.18,2023-04-06
TXN100316,snacks,lidl,18,29.43,2023-08-01
TXN100317,juice,co-op,4,22.62,2023-01-24
TXN100318,eggs,lidl,2,81.45,2023-07-09
TXN100319,cheese,co-op,8,97.19,2023-08-29
TXN100320,snacks,sainsbury,7,36.89,2023-10-31
TXN100321,snacks,sainsbury,11,75.39,2023-11-03
TXN100322,eggs,co-op,12,54.05,2023-01-24
TXN100323,fruits,co-op,10,64.53,2023-03-08
TXN100324,milk,tesco,3,95.02,2023-07-15
TXN100325,soda,lidl,10,83.49,2023-10-23
TXN100326,butter,lidl,10,52.73,2023-08-21
TXN100327,milk,co-op,12,43.9,2023-07-21
TXN100328,milk,lidl,12,50.81,2023-05-28
TXN100329,bread,co-op,19,45.01,2023-02-12
TXN100330,bread,co-op,4,10.43,2023-06-26
TXN100331,snacks,co-op,16,70.15,2023-07-01
TXN100332,juice,aldi,19,91.03,2023-06-30
TXN100333,butter,tesco,10,37.72,2023-10-11
TXN100334,soda,co-op,1,9.12,2023-07-08
TXN100335,soda,tesco,6,91.15,2023-07-01
TXN100336,cheese,co-op,10,55.94,2023-09-14
TXN100337,cheese,sainsbury,11,7.28,2023-08-07
TXN100338,butter,lidl,4,1.46,2023-06-11
TXN100339,vegetables,aldi,3,11.3,2023-11-15
TXN100340,vegetables,sainsbury,11,43.38,2023-06-17
TXN100341,fruits,co-op,5,29.17,2023-05-16
TXN100342,soda,sainsbury,14,49.89,2023-05-23
TXN100343,bread,lidl,4,57.48,2023-01-21
TXN100344,vegetables,lidl,5,87.8,2023-07-24
TXN100345,juice,lidl,8,75.01,2023-10-11
TXN100346,bread,co-op,17,1.27,2023-08-24
TXN100347,snacks,lidl,17,98.53,2023-03-30
TXN100348,soda,tesco,6,72.24,2023-08-27
TXN100349,bread,aldi,12,52.4,2023-03-01
TXN100350,eggs,lidl,15,30.84,2023-05-15
TXN100351,soda,aldi,3,69.87,2023-04-11
TXN100352,eggs,sainsbury,7,23.55,2023-01-17
TXN100353,vegetables,sainsbury,14,44.08,2023-11-22
TXN100354,juice,sainsbury,16,33.0,2023-03-09
TXN100355,snacks,co-op,15,14.71,2023-04-02
TXN100356,cheese,tesco,18,31.54,2023-09-24
TXN100357,fruits,aldi,11,2.14,2023-07-27
TXN100358,cheese,co-op,12,3.47,2023-04-18
TXN100359,vegetables,tesco,10,99.44,2023-08-04
TXN100360,vegetables,tesco,9,14.14,2023-02-27
TXN100361,snacks,sainsbury,5,57.72,2023-08-08
TXN100362,butter,lidl,12,14.27,2023-12-15
TXN100363,butter,tesco,13,76.87,2023-12-31
TXN100364,milk,lidl,2,9.21,2023-04-17
TXN100365,milk,sainsbury,14,1.48,2023-11-05
TXN100366,bread,aldi,14,46.08,2023-08-09
TXN100367,milk,co-op,12,23.78,2023-04-15
TXN100368,soda,co-op,15,44.7,2023-10-02
TXN100369,soda,sainsbury,8,86.87,2023-11-05
TXN100370,soda,tesco,3,25.42,2023-02-15
TXN100371,eggs,aldi,12,76.17,2023-07-25
TXN100372,juice,tesco,15,6.69,2023-11-08
TXN100373,eggs,co-op,3,19.07,2023-01-09
TXN100374,eggs,lidl,4,48.36,2023-10-23
TXN100375,fruits,tesco,11,65.54,2023-12-03
TXN100376,snacks,lidl,8,65.89,2023-08-26
TXN100377,eggs,tesco,9,34.05,2023-10-08
TXN100378,snacks,sainsbury,12,6.07,2023-12-18
TXN100379,bread,aldi,1,11.03,2023-03-27
TXN100380,eggs,sainsbury,3,89.57,2023-04-27
