TransactionID,ProductName,StoreLocation,Quantity,Price,Date,TotalSales
T100000,Apples,Tesco - Liverpool South,6,13.76,2024-10-12 21:23:32.515958,82.56
T100001,Juice,Tesco - London Central,4,4.05,2024-06-25 21:23:32.515990,16.2
T100002,Eggs,Tesco - Glasgow North,2,4.82,2024-05-06 21:23:32.515994,9.64
T100003,Cheese,Tesco - London Central,3,15.62,2024-10-10 21:23:32.515997,46.86
T100004,Butter,Tesco - Manchester East,4,2.9,2024-08-29 21:23:32.516000,11.6
T100005,Apples,Tesco - Cardiff Bay,4,5.72,2024-10-06 21:23:32.516004,22.88
T100006,Eggs,Tesco - Edinburgh Central,8,19.65,2024-10-23 21:23:32.516007,157.2
T100007,Cheese,Tesco - Sheffield Hills,4,14.39,2024-11-06 21:23:32.516011,57.56
T100008,Yogurt,Tesco - Cardiff Bay,9,2.9,2025-02-01 21:23:32.516016,26.099999999999998
T100009,Cereal,Tesco - Manchester East,1,15.27,2024-09-25 21:23:32.516019,15.27
T100010,Butter,Tesco - Cardiff Bay,1,13.26,2025-03-21 21:23:32.516023,13.26
T100011,Biscuits,Tesco - Sheffield Hills,8,19.82,2024-04-13 21:23:32.516026,158.56
T100012,Cheese,Tesco - London Central,6,7.84,2024-09-07 21:23:32.516028,47.04
T100013,Cheese,Tesco - London Central,9,14.5,2024-04-12 21:23:32.516031,130.5
T100014,Milk,Tesco - Cardiff Bay,3,15.5,2024-11-21 21:23:32.516034,46.5
T100015,Bread,Tesco - Manchester East,6,13.62,2025-02-07 21:23:32.516036,81.72
T100016,Milk,Tesco - Manchester East,3,10.83,2024-12-29 21:23:32.516039,32.49
T100017,Cereal,Tesco - Bristol Eastgate,8,15.99,2024-09-04 21:23:32.516042,127.92
T100018,Apples,Tesco - Glasgow North,10,2.92,2024-11-02 21:23:32.516045,29.2
T100019,Cereal,Tesco - Bristol Eastgate,4,2.9,2024-06-03 21:23:32.516048,11.6
T100020,Cheese,Tesco - Edinburgh Central,8,15.06,2024-08-27 21:23:32.516053,120.48
T100021,Cereal,Tesco - Glasgow North,5,7.6,2024-10-03 21:23:32.516056,38.0
T100022,Biscuits,Tesco - Liverpool South,3,8.3,2024-09-21 21:23:32.516058,24.900000000000002
T100023,Butter,Tesco - Edinburgh Central,8,9.37,2024-11-09 21:23:32.516061,74.96
T100024,Butter,Tesco - Sheffield Hills,3,19.19,2024-12-31 21:23:32.516063,57.57000000000001
T100025,Eggs,Tesco - Leeds Market,10,10.14,2025-03-16 21:23:32.516067,101.4
T100026,Milk,Tesco - Cardiff Bay,8,4.15,2024-11-22 21:23:32.516069,33.2
T100027,Juice,Tesco - Sheffield Hills,5,2.2,2024-11-12 21:23:32.516072,11.0
T100028,Milk,Tesco - Bristol Eastgate,4,3.01,2024-11-25 21:23:32.516074,12.04
T100029,Juice,Tesco - Birmingham West,3,2.9,2024-05-04 21:23:32.516077,8.7
T100030,Apples,Tesco - Bristol Eastgate,2,4.72,2025-01-12 21:23:32.516079,9.44
T100031,Bread,Tesco - London Central,4,17.29,2024-06-02 21:23:32.516082,69.16
T100032,Milk,Tesco - Manchester East,2,3.62,2024-04-22 21:23:32.516084,7.24
T100033,Juice,Tesco - Cardiff Bay,8,14.03,2025-03-03 21:23:32.516088,112.24
T100034,Milk,Tesco - Liverpool South,7,12.73,2025-01-04 21:23:32.516090,89.11
T100035,Eggs,Tesco - Bristol Eastgate,4,13.84,2024-10-19 21:23:32.516093,55.36
T100036,Cheese,Tesco - Manchester East,1,14.8,2024-08-09 21:23:32.516095,14.8
T100037,Cheese,Tesco - Birmingham West,1,1.91,2024-06-22 21:23:32.516098,1.91
T100038,Eggs,Tesco - Birmingham West,2,12.8,2024-08-25 21:23:32.516100,25.6
T100039,Yogurt,Tesco - Birmingham West,10,17.36,2024-05-29 21:23:32.516103,173.6
T100040,Butter,Tesco - Glasgow North,2,10.41,2024-10-12 21:23:32.516105,20.82
T100041,Biscuits,Tesco - London Central,10,4.34,2024-07-26 21:23:32.516108,43.4
T100042,Apples,Tesco - Bristol Eastgate,4,14.86,2025-03-25 21:23:32.516111,59.44
T100043,Biscuits,Tesco - Birmingham West,8,13.53,2025-02-24 21:23:32.516113,108.24
T100044,Biscuits,Tesco - Glasgow North,6,1.3,2024-05-15 21:23:32.516116,7.800000000000001
T100045,Butter,Tesco - Leeds Market,8,4.35,2024-08-16 21:23:32.516119,34.8
T100046,Butter,Tesco - Liverpool South,5,14.23,2024-07-10 21:23:32.516121,71.15
T100047,Cheese,Tesco - Glasgow North,8,1.51,2025-01-24 21:23:32.516124,12.08
T100048,Apples,Tesco - London Central,2,15.38,2025-02-14 21:23:32.516126,30.76
T100049,Eggs,Tesco - Sheffield Hills,10,7.6,2024-06-18 21:23:32.516129,76.0
T100050,Milk,Tesco - Bristol Eastgate,2,8.23,2024-07-23 21:23:32.516131,16.46
T100051,Yogurt,Tesco - Bristol Eastgate,4,15.97,2024-10-16 21:23:32.516134,63.88
T100052,Milk,Tesco - Sheffield Hills,10,5.08,2024-10-27 21:23:32.516136,50.8
T100053,Cheese,Tesco - Edinburgh Central,10,6.69,2025-01-03 21:23:32.516140,66.9
T100054,Eggs,Tesco - Leeds Market,7,15.43,2024-09-12 21:23:32.516142,108.00999999999999
T100055,Biscuits,Tesco - London Central,6,2.31,2024-11-27 21:23:32.516145,13.86
T100056,Eggs,Tesco - London Central,10,9.3,2024-12-13 21:23:32.516147,93.0
T100057,Bread,Tesco - Liverpool South,1,9.67,2024-07-04 21:23:32.516150,9.67
T100058,Milk,Tesco - Edinburgh Central,9,10.28,2024-10-06 21:23:32.516152,92.52
T100059,Juice,Tesco - Manchester East,10,2.97,2024-05-12 21:23:32.516154,29.700000000000003
T100060,Apples,Tesco - Bristol Eastgate,7,3.99,2024-12-02 21:23:32.516157,27.93
T100061,Biscuits,Tesco - Edinburgh Central,5,1.21,2024-07-23 21:23:32.516160,6.05
T100062,Butter,Tesco - Leeds Market,7,13.51,2024-07-09 21:23:32.516162,94.57
T100063,Cheese,Tesco - Liverpool South,1,12.15,2025-01-25 21:23:32.516165,12.15
T100064,Biscuits,Tesco - Sheffield Hills,3,18.86,2024-05-07 21:23:32.516167,56.58
T100065,Biscuits,Tesco - Glasgow North,3,6.47,2024-06-02 21:23:32.516171,19.41
T100066,Butter,Tesco - Liverpool South,8,1.64,2024-04-16 21:23:32.516173,13.12
T100067,Butter,Tesco - Cardiff Bay,9,3.68,2024-06-03 21:23:32.516176,33.120000000000005
T100068,Biscuits,Tesco - Birmingham West,5,14.32,2024-08-21 21:23:32.516179,71.6
T100069,Eggs,Tesco - Cardiff Bay,1,17.89,2024-12-30 21:23:32.516181,17.89
T100070,Cereal,Tesco - Edinburgh Central,8,1.25,2024-05-19 21:23:32.516184,10.0
T100071,Milk,Tesco - Leeds Market,5,2.54,2025-03-01 21:23:32.516186,12.7
T100072,Butter,Tesco - Sheffield Hills,10,18.0,2024-10-26 21:23:32.516188,180.0
T100073,Biscuits,Tesco - Manchester East,9,13.03,2024-07-10 21:23:32.516191,117.27
T100074,Biscuits,Tesco - Edinburgh Central,2,8.91,2024-05-19 21:23:32.516194,17.82
T100075,Yogurt,Tesco - Edinburgh Central,8,1.31,2024-05-28 21:23:32.516196,10.48
T100076,Cheese,Tesco - Leeds Market,4,8.32,2024-07-11 21:23:32.516199,33.28
T100077,Eggs,Tesco - Birmingham West,9,13.34,2025-03-31 21:23:32.516202,120.06
T100078,Biscuits,Tesco - Manchester East,5,4.62,2024-06-20 21:23:32.516204,23.1
T100079,Apples,Tesco - Manchester East,2,17.69,2024-11-28 21:23:32.516207,35.38
T100080,Apples,Tesco - Leeds Market,3,12.28,2024-06-27 21:23:32.516209,36.839999999999996
T100081,Milk,Tesco - Edinburgh Central,6,19.39,2025-01-06 21:23:32.516212,116.34
T100082,Butter,Tesco - London Central,5,2.95,2024-09-21 21:23:32.516215,14.75
T100083,Apples,Tesco - Edinburgh Central,4,19.98,2024-04-12 21:23:32.516217,79.92
T100084,Cheese,Tesco - London Central,1,7.53,2025-03-12 21:23:32.516219,7.53
T100085,Milk,Tesco - Sheffield Hills,2,4.21,2024-08-08 21:23:32.516222,8.42
